radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,9/10/2007,Fall,y,,,,,,,,,,
KMOB,9/11/2007,Fall,y,,,,,,,,,,
KMOB,9/12/2007,Fall,n,,,,,,,,,,
KMOB,9/13/2007,Fall,n,,,,,,,,,,
KMOB,9/14/2007,Fall,y,,,,,,,,,,
KMOB,9/15/2007,Fall,y,,,,,,,,,,
KMOB,9/16/2007,Fall,y,,,,,,,,,,
KMOB,9/17/2007,Fall,y,,,,,,,,,,
KMOB,9/18/2007,Fall,y,,,,,,,,,,
KMOB,9/19/2007,Fall,y,,,,,,,,,,
KMOB,9/20/2007,Fall,y,,,,,,,,,,
KMOB,9/21/2007,Fall,n,,,,,,,,,,
KMOB,9/22/2007,Fall,n,,,,,,,,,,
KMOB,9/23/2007,Fall,n,,,,,,,,,,
KMOB,9/24/2007,Fall,y,,,,,,,,,,
KMOB,9/25/2007,Fall,y,,,,,,,,,,
KMOB,9/26/2007,Fall,n,,,,,,,,,,
KMOB,9/27/2007,Fall,y,,,,,,,,,,
KMOB,9/28/2007,Fall,y,,,,,,,,,,
KMOB,9/29/2007,Fall,y,,,,,,,,,,
KMOB,9/30/2007,Fall,y,,,,,,,,,,
KMOB,10/1/2007,Fall,y,,,,,,,,,,
KMOB,10/2/2007,Fall,y,,,,,,,,,,
KMOB,10/3/2007,Fall,n,,,,,,,,,,
KMOB,10/4/2007,Fall,n,,,,,,,,,,
KMOB,10/5/2007,Fall,n,,,,,,,,,,
KMOB,10/6/2007,Fall,n,,,,,,,,,,
KMOB,10/7/2007,Fall,y,,,,,,,,,,
KMOB,10/8/2007,Fall,y,,,,,,,,,,
KMOB,10/9/2007,Fall,n,,,,,,,,,,
KMOB,10/10/2007,Fall,y,,,,,,,,,,
KMOB,10/11/2007,Fall,y,,,,,,,,,,
KMOB,10/12/2007,Fall,y,,,,,,,,,,
KMOB,10/13/2007,Fall,y,,,,,,,,,,
KMOB,10/14/2007,Fall,y,,,,,,,,,,
KMOB,10/15/2007,Fall,y,,,,,,,,,,
KMOB,10/16/2007,Fall,y,,,,,,,,,,
KMOB,10/17/2007,Fall,n,,,,,,,,,,
KMOB,10/18/2007,Fall,n,,,,,,,,,,
KMOB,10/19/2007,Fall,y,,,,,,,,,,
KMOB,10/20/2007,Fall,y,,,,,,,,,,
KMOB,10/21/2007,Fall,n,,,,,,,,,,
KMOB,10/22/2007,Fall,n,,,,,,,,,,
KMOB,10/23/2007,Fall,n,,,,,,,,,,
KMOB,10/24/2007,Fall,y,,,,,,,,,,
KMOB,10/25/2007,Fall,y,,,,,,,,,,
KMOB,10/26/2007,Fall,y,,,,,,,,,,
KMOB,10/27/2007,Fall,y,,,,,,,,,,
KMOB,10/28/2007,Fall,y,,,,,,,,,,
KMOB,10/29/2007,Fall,y,,,,,,,,,,
KMOB,10/30/2007,Fall,y,,,,,,,,,,
KMOB,10/31/2007,Fall,y,,,,,,,,,,
KMOB,11/1/2007,Fall,y,,,,,,,,,,
KMOB,9/1/2008,Fall,n,,,,,,,,,,
KMOB,9/2/2008,Fall,n,,,,,,,,,,
KMOB,9/3/2008,Fall,n,,,,,,,,,,
KMOB,9/4/2008,Fall,n,,,,,,,,,,
KMOB,9/5/2008,Fall,n,,,,,,,,,,
KMOB,9/6/2008,Fall,y,,,,,,,,,,
KMOB,9/7/2008,Fall,y,,,,,,,,,,
KMOB,9/8/2008,Fall,n,,,,,,,,,,
KMOB,9/9/2008,Fall,n,,,,,,,,,,
KMOB,9/10/2008,Fall,n,,,,,,,,,,
KMOB,9/11/2008,Fall,y,,,,,,,,,,
KMOB,9/12/2008,Fall,y,,,,,,,,,,
KMOB,9/13/2008,Fall,y,,,,,,,,,,
KMOB,9/14/2008,Fall,y,,,,,,,,,,
KMOB,9/15/2008,Fall,y,,,,,,,,,,
KMOB,9/16/2008,Fall,y,,,,,,,,,,
KMOB,9/17/2008,Fall,y,,,,,,,,,,
KMOB,9/18/2008,Fall,y,,,,,,,,,,
KMOB,9/19/2008,Fall,n,,,,,,,,,,
KMOB,9/20/2008,Fall,n,,,,,,,,,,
KMOB,9/21/2008,Fall,y,,,,,,,,,,
KMOB,9/22/2008,Fall,n,,,,,,,,,,
KMOB,9/23/2008,Fall,y,,,,,,,,,,
KMOB,9/24/2008,Fall,y,,,,,,,,,,
KMOB,9/25/2008,Fall,y,,,,,,,,,,
KMOB,9/26/2008,Fall,y,,,,,,,,,,
KMOB,9/27/2008,Fall,y,,,,,,,,,,
KMOB,9/28/2008,Fall,y,,,,,,,,,,
KMOB,9/29/2008,Fall,y,,,,,,,,,,
KMOB,9/30/2008,Fall,y,,,,,,,,,,
KMOB,10/1/2008,Fall,y,,,,,,,,,,
KMOB,10/2/2008,Fall,y,,,,,,,,,,
KMOB,10/3/2008,Fall,y,,,,,,,,,,
KMOB,10/4/2008,Fall,y,,,,,,,,,,
KMOB,10/5/2008,Fall,y,,,,,,,,,,
KMOB,10/6/2008,Fall,n,,,,,,,,,,
KMOB,10/7/2008,Fall,n,,,,,,,,,,
KMOB,10/8/2008,Fall,y,,,,,,,,,,
KMOB,10/9/2008,Fall,y,,,,,,,,,,
KMOB,10/10/2008,Fall,y,,,,,,,,,,
KMOB,10/11/2008,Fall,y,,,,,,,,,,
KMOB,10/12/2008,Fall,y,,,,,,,,,,
KMOB,10/13/2008,Fall,y,,,,,,,,,,
KMOB,10/14/2008,Fall,y,,,,,,,,,,
KMOB,10/15/2008,Fall,y,,,,,,,,,,
KMOB,10/16/2008,Fall,y,,,,,,,,,,
KMOB,10/17/2008,Fall,n,,,,,,,,,,
KMOB,10/18/2008,Fall,y,,,,,,,,,,
KMOB,10/19/2008,Fall,y,,,,,,,,,,
KMOB,10/20/2008,Fall,y,,,,,,,,,,
KMOB,10/21/2008,Fall,y,,,,,,,,,,
KMOB,10/22/2008,Fall,n,,,,,,,,,,
KMOB,10/23/2008,Fall,n,,,,,,,,,,
KMOB,10/24/2008,Fall,y,,,,,,,,,,
KMOB,10/25/2008,Fall,y,,,,,,,,,,
KMOB,10/26/2008,Fall,y,,,,,,,,,,
KMOB,10/27/2008,Fall,y,,,,,,,,,,
KMOB,10/28/2008,Fall,y,,,,,,,,,,
KMOB,10/29/2008,Fall,y,,,,,,,,,,
KMOB,10/30/2008,Fall,y,,,,,,,,,,
KMOB,10/31/2008,Fall,y,,,,,,,,,,
KMOB,11/1/2008,Fall,y,,,,,,,,,,
KMOB,9/1/2009,Fall,y,,,,,,,,,,
KMOB,9/2/2009,Fall,n,,,,,,,,,,
KMOB,9/3/2009,Fall,n,,,,,,,,,,
KMOB,9/4/2009,Fall,n,,,,,,,,,,
KMOB,9/5/2009,Fall,n,,,,,,,,,,
KMOB,9/6/2009,Fall,n,,,,,,,,,,
KMOB,9/7/2009,Fall,n,,,,,,,,,,
KMOB,9/8/2009,Fall,y,,,,,,,,,,
KMOB,9/9/2009,Fall,y,,,,,,,,,,
KMOB,9/10/2009,Fall,n,,,,,,,,,,
KMOB,9/11/2009,Fall,n,,,,,,,,,,
KMOB,9/12/2009,Fall,n,,,,,,,,,,
KMOB,9/13/2009,Fall,n,,,,,,,,,,
KMOB,9/14/2009,Fall,n,,,,,,,,,,
KMOB,9/15/2009,Fall,y,,,,,,,,,,
KMOB,9/16/2009,Fall,n,,,,,,,,,,
KMOB,9/17/2009,Fall,n,,,,,,,,,,
KMOB,9/18/2009,Fall,n,,,,,,,,,,
KMOB,9/19/2009,Fall,n,,,,,,,,,,
KMOB,9/20/2009,Fall,y,,,,,,,,,,
KMOB,9/21/2009,Fall,y,,,,,,,,,,
KMOB,9/22/2009,Fall,n,,,,,,,,,,
KMOB,9/23/2009,Fall,y,,,,,,,,,,
KMOB,9/24/2009,Fall,n,,,,,,,,,,
KMOB,9/25/2009,Fall,n,,,,,,,,,,
KMOB,9/26/2009,Fall,n,,,,,,,,,,
KMOB,9/27/2009,Fall,y,,,,,,,,,,
KMOB,9/28/2009,Fall,n,,,,,,,,,,
KMOB,9/29/2009,Fall,y,,,,,,,,,,
KMOB,9/30/2009,Fall,n,,,,,,,,,,
KMOB,10/1/2009,Fall,y,,,,,,,,,,
KMOB,10/2/2009,Fall,y,,,,,,,,,,
KMOB,10/3/2009,Fall,y,,,,,,,,,,
KMOB,10/4/2009,Fall,n,,,,,,,,,,
KMOB,10/5/2009,Fall,n,,,,,,,,,,
KMOB,10/6/2009,Fall,y,,,,,,,,,,
KMOB,10/7/2009,Fall,n,,,,,,,,,,
KMOB,10/8/2009,Fall,y,,,,,,,,,,
KMOB,10/9/2009,Fall,n,,,,,,,,,,
KMOB,10/10/2009,Fall,n,,,,,,,,,,
KMOB,10/11/2009,Fall,n,,,,,,,,,,
KMOB,10/12/2009,Fall,n,,,,,,,,,,
KMOB,10/13/2009,Fall,n,,,,,,,,,,
KMOB,10/14/2009,Fall,n,,,,,,,,,,
KMOB,10/15/2009,Fall,n,,,,,,,,,,
KMOB,10/16/2009,Fall,y,,,,,,,,,,
KMOB,10/17/2009,Fall,y,,,,,,,,,,
KMOB,10/18/2009,Fall,y,,,,,,,,,,
KMOB,10/19/2009,Fall,y,,,,,,,,,,
KMOB,10/20/2009,Fall,y,,,,,,,,,,
KMOB,10/21/2009,Fall,y,,,,,,,,,,
KMOB,10/22/2009,Fall,n,,,,,,,,,,
KMOB,10/23/2009,Fall,y,,,,,,,,,,
KMOB,10/24/2009,Fall,y,,,,,,,,,,
KMOB,10/25/2009,Fall,y,,,,,,,,,,
KMOB,10/26/2009,Fall,n,,,,,,,,,,
KMOB,10/27/2009,Fall,y,,,,,,,,,,
KMOB,10/28/2009,Fall,n,,,,,,,,,,
KMOB,10/29/2009,Fall,y,,,,,,,,,,
KMOB,10/30/2009,Fall,n,,,,,,,,,,
KMOB,10/31/2009,Fall,y,,,,,,,,,,
KMOB,11/1/2009,Fall,y,,,,,,,,,,
KMOB,9/1/2010,Fall,y,,,,,,,,,,
KMOB,9/2/2010,Fall,y,,,,,,,,,,
KMOB,9/3/2010,Fall,y,,,,,,,,,,
KMOB,9/4/2010,Fall,y,,,,,,,,,,
KMOB,9/5/2010,Fall,y,,,,,,,,,,
KMOB,9/6/2010,Fall,y,,,,,,,,,,
KMOB,9/7/2010,Fall,n,,,,,,,,,,
KMOB,9/8/2010,Fall,y,,,,,,,,,,
KMOB,9/9/2010,Fall,y,,,,,,,,,,
KMOB,9/10/2010,Fall,y,,,,,,,,,,
KMOB,9/11/2010,Fall,y,,,,,,,,,,
KMOB,9/12/2010,Fall,y,,,,,,,,,,
KMOB,9/13/2010,Fall,y,,,,,,,,,,
KMOB,9/14/2010,Fall,y,,,,,,,,,,
KMOB,9/15/2010,Fall,y,,,,,,,,,,
KMOB,9/16/2010,Fall,y,,,,,,,,,,
KMOB,9/17/2010,Fall,y,,,,,,,,,,
KMOB,9/18/2010,Fall,n,,,,,,,,,,
KMOB,9/19/2010,Fall,y,,,,,,,,,,
KMOB,9/20/2010,Fall,n,,,,,,,,,,
KMOB,9/21/2010,Fall,y,,,,,,,,,,
KMOB,9/22/2010,Fall,y,,,,,,,,,,
KMOB,9/23/2010,Fall,n,,,,,,,,,,
KMOB,9/24/2010,Fall,n,,,,,,,,,,
KMOB,9/25/2010,Fall,n,,,,,,,,,,
KMOB,9/26/2010,Fall,n,,,,,,,,,,
KMOB,9/27/2010,Fall,y,,,,,,,,,,
KMOB,9/28/2010,Fall,y,,,,,,,,,,
KMOB,9/29/2010,Fall,y,,,,,,,,,,
KMOB,9/30/2010,Fall,y,,,,,,,,,,
KMOB,10/1/2010,Fall,y,,,,,,,,,,
KMOB,10/2/2010,Fall,y,,,,,,,,,,
KMOB,10/3/2010,Fall,y,,,,,,,,,,
KMOB,10/4/2010,Fall,y,,,,,,,,,,
KMOB,10/5/2010,Fall,y,,,,,,,,,,
KMOB,10/6/2010,Fall,y,,,,,,,,,,
KMOB,10/7/2010,Fall,y,,,,,,,,,,
KMOB,10/8/2010,Fall,n,,,,,,,,,,
KMOB,10/9/2010,Fall,n,,,,,,,,,,
KMOB,10/10/2010,Fall,n,,,,,,,,,,
KMOB,10/11/2010,Fall,y,,,,,,,,,,
KMOB,10/12/2010,Fall,y,,,,,,,,,,
KMOB,10/13/2010,Fall,y,,,,,,,,,,
KMOB,10/14/2010,Fall,y,,,,,,,,,,
KMOB,10/15/2010,Fall,y,,,,,,,,,,
KMOB,10/16/2010,Fall,y,,,,,,,,,,
KMOB,10/17/2010,Fall,n,,,,,,,,,,
KMOB,10/18/2010,Fall,y,,,,,,,,,,
KMOB,10/19/2010,Fall,y,,,,,,,,,,
KMOB,10/20/2010,Fall,y,,,,,,,,,,
KMOB,10/21/2010,Fall,n,,,,,,,,,,
KMOB,10/22/2010,Fall,n,,,,,,,,,,
KMOB,10/23/2010,Fall,n,,,,,,,,,,
KMOB,10/24/2010,Fall,n,,,,,,,,,,
KMOB,10/25/2010,Fall,y,,,,,,,,,,
KMOB,10/26/2010,Fall,n,,,,,,,,,,
KMOB,10/27/2010,Fall,n,,,,,,,,,,
KMOB,10/28/2010,Fall,y,,,,,,,,,,
KMOB,10/29/2010,Fall,y,,,,,,,,,,
KMOB,10/30/2010,Fall,y,,,,,,,,,,
KMOB,10/31/2010,Fall,y,,,,,,,,,,
KMOB,11/1/2010,Fall,y,,,,,,,,,,
KMOB,9/1/2011,Fall,y,,,,,,,,,,
KMOB,9/2/2011,Fall,n,,,,,,,,,,
KMOB,9/3/2011,Fall,n,,,,,,,,,,
KMOB,9/4/2011,Fall,n,,,,,,,,,,
KMOB,9/5/2011,Fall,y,,,,,,,,,,
KMOB,9/6/2011,Fall,y,,,,,,,,,,
KMOB,9/7/2011,Fall,y,,,,,,,,,,
KMOB,9/8/2011,Fall,y,,,,,,,,,,
KMOB,9/9/2011,Fall,y,,,,,,,,,,
KMOB,9/10/2011,Fall,y,,,,,,,,,,
KMOB,9/11/2011,Fall,y,,,,,,,,,,
KMOB,9/12/2011,Fall,y,,,,,,,,,,
KMOB,9/13/2011,Fall,n,,,,,,,,,,
KMOB,9/14/2011,Fall,n,,,,,,,,,,
